cre88_RECID,cre88_TAXITEMGROUP,cre88_TAXGROUP,cre88_CONFIRMEDTAXWRITECODE,cre88_CURRENCYCODE,cre88_ITEMREFTYPE,cre88_NAME,cre88_TRANSACTIONCODE,cre88_VENDACCOUNT,cre88_DATAAREAID,cre88_ORDERACCOUNT,cre88_DELIVERYNAME,cre88_PAYMENT,cre88_PAYMMODE,cre88_PRICEGROUPID,cre88_PURCHASETYPE,cre88_PURCHNAME,cre88_PURCHSTATUS,cre88_VATNUM,cre88_VENDGROUP,cre88_COUNTRYREGIONID,cre88_ZIPCODE,cre88_STREET,cre88_CITY,cre88_STATE,cre88_COUNTY,cre88_PRODUCTTYPE,cre88_ITEMGROUPID
281,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
282,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
283,Goods,P-EU-RC,,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
284,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
285,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
286,Goods,P-EU-RC,,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
287,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
288,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
289,Goods,P-EU-RC,,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
290,Goods,P-EU-RC,,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
291,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,1,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
292,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
293,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
294,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
295,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
296,Goods,P-EU-RC,BTW,EUR,0,Hempel's Thinner,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,1,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
297,Goods,P-EU-RC,,EUR,0,Hempel's Thinner,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
298,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
299,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,2,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
300,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
301,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
302,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
303,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
304,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
305,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
306,Goods,7,ALV,EUR,1,Hempel's Thinner,11,93004,fi11,93004,M/V Exporter,CM+25,Clearing,Area 3,3,HEMPEL PAINTS POLAND SP. Z O.O. - II,3,PL7010150377,INTERNAL,DEU,23569,"IMO: 8820860 Flag: Finland   Lehmannkai 2, Lubeck.  c/o  Hans Lehmann KG Seelandstr. 15, Lehmannkai 2 Platz 3, warehouse BaFor tel. +49451390010  info@hans-lehmann.de",Lübeck,,,1,FG
307,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
308,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
309,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
310,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
311,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,1,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
312,Goods,7,,EUR,1,Hempel's Thinner,11,93023,fi11,93023,"m/v Transporter, IMO: 8820858",CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A - II,3,ESA08183881,INTERNAL,GIB,30399,TRANSPORTER  IMO: 8820858 PUERTO DE GIBRALTAR CONSIGNA MARITIMA DEL ESTRECHO,GIBRALTAR,,,1,FG
313,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
314,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
315,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,1,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
316,Goods,P-II,,USD,1,Hempel's Thinner,11,93056,fr12,93056,Hempel France SAS,CM+25,Clearing,Area 2,3,HEMPEL KOREA CO. LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
317,Goods,P-II,,EUR,1,Hempel's Thinner,11,50056,fr12,50056,Hempel France SAS,CM+45,Transfer,,3,TOLE IVOIRE-TISA,3,No VAT Number,AGENT FORE,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
318,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
319,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
320,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
321,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
322,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+30,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
323,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,1,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
324,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,1,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
325,Goods,P-II,,USD,1,Hempel's Thinner,11,93055,fr12,93055,Hempel France SAS,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
326,Goods,P-II,,USD,1,Hempel's Thinner,11,93055,fr12,93055,Hempel France SAS,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
327,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
328,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
329,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
330,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
331,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,.,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
332,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,.,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
333,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
334,Goods,P-II,,USD,1,Hempel's Thinner,11,93055,fr12,93055,Hempel France SAS,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
335,Goods,P-II,,EUR,0,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,4,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
336,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
337,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
338,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
339,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
340,Goods,P-II,,EUR,1,Hempel's Thinner,11,50056,fr12,50056,Hempel France SAS,CM+45,Transfer,,3,TOLE IVOIRE-TISA,2,No VAT Number,AGENT FORE,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
341,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
342,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
343,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
344,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
345,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
346,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
347,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
348,Goods,P-II,,USD,1,Hempel's Thinner,11,93055,fr12,93055,Hempel France SAS,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
349,Goods,P-II,,USD,1,Hempel's Thinner,11,93055,fr12,93055,Hempel France SAS,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
350,Goods,P-EU-II,PDV,EUR,1,Hempel's Thinner,11,93023,hr89,93023,M/V CAS AMARES,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - II,3,ES A08183881,INTERNAL,GIB,30399,CAS AMARES IMO: 9483255 PUERTO DE GIBRALTAR CONSIGNA WILHELMSEN ,GIBRALTAR,,,1,FG
351,Goods,7,ALV,EUR,1,Hempel's Thinner,11,93018,fi11,93018,"m/v AIRISTO, IMO: 9213727",CM+25,Clearing,Area 3,3,HEMPEL (ITALY) s.r.l. - II,3,IT00246440101,INTERNAL,ITA,30174,c/o Loral Shipping Agency Via A. Da Mestre 19 tel +39.0412000099 info@loralshipping.com Dogana:Adriatic Service ,Mestre,,,1,FG
352,Goods,P-II,,EUR,1,Hempel's Thinner,11,93052,fr12,93052,Hempel France SAS,CM+25,Transfer,,3,HEMPEL PAINTS (SOUTH AFRICA) LTD. - II,3,,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
353,Goods,P-NEU-IM,,EUR,0,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,4,,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
354,Goods,P-NEU-IM,,EUR,0,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,4,,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
355,Goods,P-II,,EUR,1,Hempel's Thinner,11,50606,fr12,50606,Hempel France SAS,CM+60,Transfer,,3,ENTREPRISE DE VENTE ET DE TRAVAUX - EDVT,3,No VAT Number,OTHER-FOR,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
356,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
357,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
358,Goods,P-II,,USD,1,Hempel's Thinner,11,93086,fr12,93086,Hempel France SAS,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,FRA,60111,"5, rue de l'Europe B.P. 30407 Saint-Crépin-Ibouvillers",MERU CEDEX,,,1,FG
359,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
360,Goods,P-EU-RC,TVA,EUR,0,Hempel's Thinner,11,91022,fr12,91022,HEMPEL,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
